Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Alki/Admiral,1321 Harbor Ave SW,Seattle,WA,98116,1915,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.382732026 47.591400001)
Medium Risk,Alki/Admiral,2124 California Ave SW,Seattle,WA,98116,1928,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.386072968 47.584527008)
Medium Risk,Alki/Admiral,2306 42nd Ave SW,Seattle,WA,98116,1909,2,Visible retrofit,Government,11-100,Photos (Rosettes) from Previous Surveys,POINT (-122.384725996 47.582694012)
Medium Risk,Alki/Admiral,4029 Beach Dr SW,Seattle,WA,98116,1928,1,No visible retrofit,Commercial/Residential,1-10,Field Visit,POINT (-122.409788977 47.567839016)
Medium Risk,Ballard,5300 Ballard Ave NW,Seattle,WA,98107,1902,2,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.383050035 47.66662402)
Medium Risk,Ballard,5239 Ballard Ave NW,Seattle,WA,98107,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.383269976 47.666219006)
Medium Risk,Ballard,5233 Ballard Ave NW,Seattle,WA,98107,1900,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.383277017 47.666127015)
Critical Risk,Ballard,5800 15th Ave NW,Seattle,WA,98107,1922,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.375674966 47.671183985)
Medium Risk,Ballard,5227 Leary Ave NW,Seattle,WA,98107,1911,5,No visible retrofit,Other Mixed Uses,11-100,Field Visit,POINT (-122.381882017 47.666121986)
Medium Risk,Ballard,5333 Ballard Ave NW,Seattle,WA,98107,1904,1,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.384285025 47.667020987)
Medium Risk,Ballard,2021 NW 58th St,Seattle,WA,98107,1900,3,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.382953978 47.670730021)
Medium Risk,Ballard,1903 NW Market St,Seattle,WA,98107,1909,3,No visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.381839018 47.668424997)
Medium Risk,Ballard,5205 Ballard Ave NW,Seattle,WA,98107,1915,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.382591964 47.665523015)
Medium Risk,Ballard,5323 Ballard Ave NW,Seattle,WA,98107,1901,3,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys,POINT (-122.384120991 47.66684899)
High Risk,Ballard,2000 NW Market St,Seattle,WA,98107,1924,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.38242902 47.668944005)
Medium Risk,Ballard,5337 Ballard Ave NW,Seattle,WA,98107,1900,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.384405975 47.667125006)
Medium Risk,Ballard,5814 22nd Ave NW,Seattle,WA,98107,1928,4,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.384441012 47.671433011)
Medium Risk,Ballard,5313 Ballard Ave NW,Seattle,WA,98107,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.383829971 47.666568993)
Medium Risk,Ballard,2056 NW Market St,Seattle,WA,98107,1925,3,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.384508989 47.668946016)
Medium Risk,Ballard,5403 Ballard Ave NW,Seattle,WA,98107,1901,2,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.385078036 47.667479016)
Medium Risk,Ballard,1766 NW Market St,Seattle,WA,98107,1906,2,No visible retrofit,Commercial/Office,11-100,Sandborn Insurance Maps,POINT (-122.381694011 47.66892699)
Medium Risk,Ballard,5443 Ballard Ave NW,Seattle,WA,98107,1906,2,Visible retrofit,Other Mixed Uses,11-100,Field Visit,POINT (-122.386287964 47.668311003)
High Risk,Ballard,4743 Ballard Ave NW,Seattle,WA,98107,1900,2,Substantial Alteration,Public Assembly,101+,Field Visit,POINT (-122.380219969 47.663510017)
Medium Risk,Ballard,5425 Russell Ave NW,Seattle,WA,98107,1910,3,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.383091022 47.66830501)
Medium Risk,Ballard,5424 Ballard Ave NW,Seattle,WA,98107,1906,2,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.385512973 47.668411)
Medium Risk,Ballard,2215 NW Market St,Seattle,WA,98107,1903,2,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.385721012 47.668484006)
Medium Risk,Ballard,5200 Ballard Ave NW,Seattle,WA,98107,1900,2,Visible retrofit,Public Assembly,11-100,Field Visit,POINT (-122.382384009 47.666001999)
Medium Risk,Ballard,1836 NW Market St,Seattle,WA,98107,1926,1,Substantial Alteration,Commercial,11-100,Field Visit,POINT (-122.38191303 47.668944005)
Medium Risk,Ballard,5419 Ballard Ave NW,Seattle,WA,98107,1913,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.385590003 47.667858003)
Critical Risk,Ballard,5201 Ballard Ave NW,Seattle,WA,98107,1915,2,Substantial Alteration,Schools,101+,Field Visit,POINT (-122.382473025 47.665414008)
High Risk,Ballard,5215 Ballard Ave NW,Seattle,WA,98107,1902,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.382805032 47.665712991)
Medium Risk,Ballard,5218 20th Ave NW,Seattle,WA,98107,1902,3,Visible retrofit,Other Mixed Uses,11-100,Google Street View,POINT (-122.381914036 47.667392012)
Medium Risk,Ballard,5242 Shilshole Ave NW,Seattle,WA,98107,1926,1,No visible retrofit,Industrial,11-100,Field Visit,POINT (-122.383318004 47.665705992)
Medium Risk,Ballard,5463 Leary Ave NW,Seattle,WA,98107,1950,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.384346967 47.668168008)
Medium Risk,Ballard,5348 Ballard Ave NW,Seattle,WA,98107,1900,2,No visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.384273038 47.667687013)
Medium Risk,Ballard,5229 Ballard Ave NW,Seattle,WA,98107,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit,POINT (-122.383133016 47.665984019)
Medium Risk,Ballard,5429 Ballard Ave NW,Seattle,WA,98107,1923,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.385841041 47.668021995)
Medium Risk,Ballard,5310 Ballard Ave NW,Seattle,WA,98107,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit,POINT (-122.383277017 47.666817013)
Medium Risk,Ballard,5425 Ballard Ave NW,Seattle,WA,98107,1926,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.385701985 47.667923005)
Medium Risk,Ballard,5405 Leary Ave NW,Seattle,WA,98107,1904,2,Substantial Alteration,Commercial/Office,101+,Field Visit,POINT (-122.382825987 47.66687401)
Medium Risk,Ballard,5109 Ballard Ave NW,Seattle,WA,98107,1900,2,Permitted Retrofit,Commercial,11-100,Field Visit,POINT (-122.381481026 47.664558006)
Medium Risk,Ballard,5344 Ballard Ave NW,Seattle,WA,98107,1900,1,No visible retrofit,Commercial,11-100,White Card Permit Records,POINT (-122.384150998 47.667577)
Medium Risk,Ballard,2236 NW Market St,Seattle,WA,98107,1927,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.386399024 47.668953979)
Medium Risk,Ballard,5100 Ballard Ave NW,Seattle,WA,98107,1905,2,No visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.380813995 47.664687004)
Medium Risk,Ballard,5130 Ballard Ave NW,Seattle,WA,98107,1900,1,Visible retrofit,Commercial,101+,Field Visit,POINT (-122.381655035 47.665372015)
Medium Risk,Ballard,2244 NW Market St,Seattle,WA,98107,1913,2,No visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.386805966 47.668953015)
Medium Risk,Ballard,2026 NW Market St,Seattle,WA,98107,1904,2,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.383410038 47.66894698)
Medium Risk,Ballard,2301 NW Market St,Seattle,WA,98107,1928,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.386569009 47.668465985)
Medium Risk,Ballard,2016 NW Market St,Seattle,WA,98107,1906,2,No visible retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.382903016 47.668886002)
Medium Risk,Ballard,5006 20th Ave NW,Seattle,WA,98107,1900,2,No visible retrofit,Commercial/Residential,11-100,Permit Drawing Review,POINT (-122.381906995 47.665686001)
Medium Risk,Ballard,5000 20th Ave NW,Seattle,WA,98107,1900,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.381906995 47.665686001)
Medium Risk,Ballard,5354 Ballard Ave NW,Seattle,WA,98107,1903,1,Visible retrofit,Commercial,11-100,Field Visit,POINT (-122.384394995 47.667796019)
Medium Risk,Ballard,5140 Ballard Ave NW,Seattle,WA,98107,1902,2,Visible retrofit,Public Assembly,11-100,Google Street View-Rosettes,POINT (-122.381760982 47.665532989)
Medium Risk,Ballard,5449 Ballard Ave NW,Seattle,WA,98107,1920,2,Substantial Alteration,Public Assembly,11-100,Field Visit,POINT (-122.386392989 47.66838401)
Medium Risk,Ballard,4711 Ballard Ave NW,Seattle,WA,98107,1900,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.379437016 47.66287601)
High Risk,Ballard,5307 Ballard Ave NW,Seattle,WA,98107,1927,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,POINT (-122.38368203 47.666450011)
Medium Risk,Ballard,5129 Ballard Ave NW,Seattle,WA,98107,1900,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.381904983 47.665032003)
Medium Risk,Ballard,2032 NW Market St,Seattle,WA,98107,1928,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.383805999 47.668945011)
Medium Risk,Ballard,5144 Ballard Ave NW,Seattle,WA,98107,1911,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.381831977 47.665582987)
Medium Risk,Ballard,2318 NW Market St,Seattle,WA,98107,1911,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.387144008 47.66894698)
Medium Risk,Ballard,5101 Ballard Ave NW,Seattle,WA,98107,1905,2,Substantial Alteration,Commercial/Office,11-100,Google Street View,POINT (-122.381263013 47.664401013)
Medium Risk,Ballard,5345 Ballard Ave NW,Seattle,WA,98107,1901,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.384565986 47.667350018)
Medium Risk,Ballard,1100 NW Leary Way,Seattle,WA,98107,1932,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.371212022 47.663968004)
Medium Risk,Ballard,5221 Ballard Ave NW,Seattle,WA,98107,1902,2,Permitted Retrofit,Commercial,101+,Permit Drawing Review,POINT (-122.382944004 47.665825015)
Medium Risk,Ballard,5335 Ballard Ave NW,Seattle,WA,98107,1909,2,Permitted Retrofit,Commercial/Residential,11-100,Permit Drawing Review,POINT (-122.384285025 47.667020987)
Medium Risk,Ballard,2220 NW Market St,Seattle,WA,98107,1927,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.385794019 47.669087)
Medium Risk,Ballard,5135 Ballard Ave NW,Seattle,WA,98107,1900,2,Substantial Alteration,Commercial/Office,11-100,Field Visit,POINT (-122.381953011 47.66514101)
Medium Risk,Ballard,4722 Ballard Ave NW,Seattle,WA,98107,1902,2,Visible retrofit,Commercial,11-100,Field Visit,POINT (-122.379546986 47.663613994)
Medium Risk,Ballard,5232 Ballard Ave NW,Seattle,WA,98107,1903,3,Permitted Retrofit,Commercial,101+,Permit Drawing Review,POINT (-122.382494578 47.665885193)
Medium Risk,Ballard,2228 NW Market St,Seattle,WA,98107,1928,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.386088978 47.668967013)
Medium Risk,Ballard,923 NW 54th St,Seattle,WA,98107,0,1,No visible retrofit,Government,1-10,Permit Drawing Review,POINT (-122.369686012 47.667098016)
Medium Risk,Beacon Hill,5919 Airport Way S,Seattle,WA,98108,1900,2,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.317663982 47.549598989)
Critical Risk,Beacon Hill,5117 13th Ave S,Seattle,WA,98108,1919,3,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.316445002 47.555897989)
Medium Risk,Beacon Hill,5900 Airport Way S,Seattle,WA,98108,1901,3,Substantial Alteration,Commercial/Office,11-100,Google Street View,POINT (-122.317366005 47.549978019)
Medium Risk,Beacon Hill,6010 Airport Way S,Seattle,WA,98108,1910,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.316303012 47.549120005)
High Risk,Beacon Hill,5840 Airport Way S,Seattle,WA,98108,1903,4,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.317731959 47.55052301)
Medium Risk,Beacon Hill,5710 Airport Way S,Seattle,WA,98108,1914,2,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.318790927 47.551243339)
Medium Risk,Belltown,2101 3rd Ave,Seattle,WA,98121,1926,1,Permitted Retrofit,Commercial,1-10,Photos from Previous Surveys,POINT (-122.342629983 47.613176018)
Medium Risk,Belltown,1930 Post Al,Seattle,WA,98101,1901,5,Visible retrofit,Other Mixed Uses,101+,Google Street View,POINT (-122.342592013 47.610695016)
High Risk,Belltown,2800 1st Ave,Seattle,WA,98121,1942,3,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.351927023 47.616928009)
Medium Risk,Belltown,2301 1st Ave,Seattle,WA,98121,1902,5,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.347044983 47.613348014)
Medium Risk,Belltown,112 Stewart St,Seattle,WA,98101,1909,8,Substantial Alteration,Commercial/Residential,101+,Photos from Previous Surveys,POINT (-122.340911023 47.610874012)
Critical Risk,Belltown,2501 Elliott Ave,Seattle,WA,98121,1910,4,Substantial Alteration,Schools,101+,Permit Drawing Review,POINT (-122.350957991 47.613319013)
Medium Risk,Belltown,11 Vine St,Seattle,WA,98121,1911,3,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys,POINT (-122.351322017 47.613529986)
Medium Risk,Belltown,2205 2nd Ave,Seattle,WA,98121,1923,6,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.344706013 47.613219017)
Medium Risk,Belltown,2101 1st Ave,Seattle,WA,98121,1901,5,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.344428991 47.611810019)
Medium Risk,Belltown,1918 1st Ave,Seattle,WA,98101,1909,6,No visible retrofit,Commercial/Residential,101+,Photos from Previous Surveys,POINT (-122.341797996 47.610940983)
Medium Risk,Belltown,2819 Elliott Ave,Seattle,WA,98121,1902,2,Substantial Alteration,Commercial/Office,101+,Google Street View,POINT (-122.354105402 47.615431783)
Medium Risk,Belltown,1921 3rd Ave,Seattle,WA,98101,1910,6,Permitted Retrofit,Other Mixed Uses,101+,Google Street View,POINT (-122.340600976 47.611860981)
Medium Risk,Belltown,1907 1st Ave,Seattle,WA,98101,1914,6,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.341859016 47.610270012)
Medium Risk,Belltown,2030 1st Ave,Seattle,WA,98121,1918,3,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.343375973 47.611872003)
Medium Risk,Belltown,1914 Post Al,Seattle,WA,98101,1910,5,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.341859016 47.610270012)
Medium Risk,Belltown,115 Blanchard St,Seattle,WA,98121,1910,4,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.344349028 47.61301102)
Medium Risk,Belltown,2119 2nd Ave,Seattle,WA,98121,1909,4,Visible retrofit,Other Mixed Uses,11-100,Google Street View,POINT (-122.344059014 47.61273601)
Medium Risk,Belltown,2209 1st Ave,Seattle,WA,98121,1910,4,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.345847042 47.612629015)
Medium Risk,Belltown,81 Vine St,Seattle,WA,98121,1914,6,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.35010597 47.614660998)
Medium Risk,Belltown,2327 2nd Ave,Seattle,WA,98121,1924,3,No visible retrofit,Residential,101+,Google Street View,POINT (-122.346839962 47.614382006)
Medium Risk,Belltown,2201 1st Ave,Seattle,WA,98121,1900,4,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.345664987 47.61252399)
Medium Risk,Belltown,2604 1st Ave,Seattle,WA,98121,1903,3,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.349618982 47.615565992)
Medium Risk,Belltown,2100 1st Ave,Seattle,WA,98121,1920,1,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.343965975 47.612207992)
Medium Risk,Belltown,2001 3rd Ave,Seattle,WA,98101,1919,2,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.341446961 47.612368002)
Medium Risk,Belltown,2106 2nd Ave,Seattle,WA,98121,1919,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.343262985 47.612986)
Medium Risk,Belltown,2303 Western Ave,Seattle,WA,98121,1908,3,Permitted Retrofit,Other Mixed Uses,11-100,Google Street View,POINT (-122.347909996 47.612689993)
Medium Risk,Belltown,2300 1st Ave,Seattle,WA,98121,1900,3,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.346451963 47.613692008)
Medium Risk,Belltown,3016 1st Ave,Seattle,WA,98121,1910,4,Permitted Retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.354375963 47.618297989)
Medium Risk,Belltown,2515 Western Ave,Seattle,WA,98121,1917,2,No visible retrofit,Other Mixed Uses,101+,Sandborn Insurance Maps,POINT (-122.350232034 47.614060979)
Medium Risk,Belltown,2212 1st Ave,Seattle,WA,98121,1909,3,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.345517968 47.613140018)
Medium Risk,Belltown,1929 3rd Ave,Seattle,WA,98101,1914,3,Substantial Alteration,Commercial/Office,101+,Google Street View,POINT (-122.340784959 47.611968018)
Medium Risk,Belltown,2933 2nd Ave,Seattle,WA,98121,1925,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.353051036 47.618058015)
Medium Risk,Belltown,2423 1st Ave,Seattle,WA,98121,1909,3,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.34882203 47.614384018)
High Risk,Belltown,2222 2nd Ave,Seattle,WA,98121,1923,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.344787988 47.613883995)
Medium Risk,Belltown,1920 Post Al,Seattle,WA,98101,1910,5,Substantial Alteration,Commercial/Office,101+,Field Visit,POINT (-122.342240066 47.610335248)
Medium Risk,Belltown,1921 2nd Ave,Seattle,WA,98101,1917,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.341503958 47.611225004)
Medium Risk,Belltown,1924 Post Al,Seattle,WA,98101,1906,5,Visible retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,POINT (-122.342362014 47.610561996)
Medium Risk,Belltown,2136 1st Ave,Seattle,WA,98121,1925,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.344839034 47.612639995)
High Risk,Belltown,2220 Western Ave,Seattle,WA,98121,1913,2,Permitted Retrofit,Public Assembly,101+,Google Street View,POINT (-122.346384992 47.612462005)
Medium Risk,Belltown,87 Wall St,Seattle,WA,98121,1912,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.348996039 47.614115001)
Medium Risk,Belltown,2320 1st Ave,Seattle,WA,98121,1888,4,No visible retrofit,Other Mixed Uses,11-100,Google Street View,POINT (-122.346969965 47.613998995)
Medium Risk,Belltown,2132 2nd Ave,Seattle,WA,98121,1918,6,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.343924987 47.613357989)
Medium Risk,Belltown,2408 2nd Ave,Seattle,WA,98121,1923,3,Visible retrofit,Residential,101+,Google Street View,POINT (-122.346796963 47.615183987)
Medium Risk,Belltown,2224 2nd Ave,Seattle,WA,98121,1911,3,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.345021005 47.61401601)
Medium Risk,Belltown,2111 3rd Ave,Seattle,WA,98121,1923,2,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.34282897 47.613191985)
Medium Risk,Belltown,1924 1st Ave,Seattle,WA,98101,1909,5,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.341932022 47.611019019)
Medium Risk,Belltown,2133 3rd Ave,Seattle,WA,98121,1928,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.343569008 47.613614014)
Medium Risk,Belltown,2018 1st Ave,Seattle,WA,98121,1908,3,Permitted Retrofit,Commercial/Office,11-100,Photos from Previous Surveys,POINT (-122.342958973 47.611624989)
Medium Risk,Belltown,2204 1st Ave,Seattle,WA,98121,1910,4,Permitted Retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.345109015 47.612898996)
Medium Risk,Belltown,1617 Post Al,Seattle,WA,98101,1908,3,Permitted Retrofit,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.341785004 47.609673011)
Medium Risk,Belltown,2110 Western Ave,Seattle,WA,98121,1923,2,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.344931989 47.611602986)
Medium Risk,Belltown,2137 2nd Ave,Seattle,WA,98121,1927,2,No visible retrofit,Commercial/Office,11-100,Permit Drawing Review,POINT (-122.344349028 47.61301102)
Medium Risk,Belltown,2420 2nd Ave,Seattle,WA,98121,1928,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.347433987 47.615449986)
Medium Risk,Belltown,2234 2nd Ave,Seattle,WA,98121,1924,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.345206999 47.614121999)
Medium Risk,Belltown,2221 3rd Ave,Seattle,WA,98121,1914,1,Permitted Retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.344501998 47.61416701)
Medium Risk,Belltown,2218 1st Ave,Seattle,WA,98121,1920,1,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.34567999 47.613221993)
Medium Risk,Belltown,1902 Post Al,Seattle,WA,98101,1925,2,Visible retrofit,Commercial,101+,Google Street View,POINT (-122.341859016 47.610270012)
Medium Risk,Belltown,2121 1st Ave,Seattle,WA,98121,1926,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.344907011 47.612083982)
Medium Risk,Belltown,2006 2nd Ave,Seattle,WA,98121,1917,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.341864967 47.612159)
Medium Risk,Belltown,2012 2nd Ave,Seattle,WA,98121,1924,1,Visible retrofit,Commercial,11-100,Google Street View,POINT (-122.342230104 47.612045444)
Medium Risk,Belltown,2112 1st Ave,Seattle,WA,98121,1904,2,Visible retrofit,Commercial,101+,Google Street View,POINT (-122.344212989 47.612366997)
Medium Risk,Belltown,3025 1st Ave,Seattle,WA,98121,1925,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.355091023 47.61809498)
Medium Risk,Belltown,2114 Western Ave,Seattle,WA,98121,1902,2,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.345084037 47.611693008)
Medium Risk,Belltown,2407 1st Ave,Seattle,WA,98121,0,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.348454987 47.614170992)
Medium Risk,Belltown,2401 1st Ave,Seattle,WA,98121,1900,4,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.348220964 47.614101003)
Medium Risk,Belltown,2231 2nd Ave,Seattle,WA,98121,1900,2,No visible retrofit,Commercial/Office,11-100,Photos from Previous Surveys,POINT (-122.345644032 47.61379301)
Medium Risk,Belltown,1901 3rd Ave,Seattle,WA,98101,1916,2,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.340147012 47.611597999)
Medium Risk,Belltown,2200 Western Ave,Seattle,WA,98121,1909,5,Substantial Alteration,Commercial,101+,Google Street View,POINT (-122.346115011 47.612305012)
Medium Risk,Broadview/Bitter Lake,12431 Greenwood Ave N,Seattle,WA,98133,1929,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.35586702 47.719463998)
Critical Risk,Broadview/Bitter Lake,415 N 117th St,Seattle,WA,98133,1938,2,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.353304002 47.713640001)
Medium Risk,Capitol Hill,1215 Seneca St,Seattle,WA,98101,1928,5,Permitted Retrofit,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.324515014 47.611323994)
Medium Risk,Capitol Hill,915 E Pine St,Seattle,WA,98122,1908,4,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.319861968 47.614987012)
High Risk,Capitol Hill,801 E Pine St,Seattle,WA,98122,1915,3,Permitted Retrofit,Public Assembly,101+,Field Visit,POINT (-122.321755021 47.614946988)
Medium Risk,Capitol Hill,1525 Boylston Ave,Seattle,WA,98122,1919,1,Substantial Alteration,Residential,11-100,Permit Drawing Review,POINT (-122.323745974 47.614803993)
Critical Risk,Capitol Hill,1415 Summit Ave,Seattle,WA,98122,1904,2,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.325913032 47.613439)
Medium Risk,Capitol Hill,315 12th Ave E,Seattle,WA,98102,1928,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.317028969 47.621673005)
Medium Risk,Capitol Hill,1620 14th Ave,Seattle,WA,98122,1919,2,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.313980973 47.615956002)
Medium Risk,Capitol Hill,1820 Boylston Ave,Seattle,WA,98122,1920,3,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.323116996 47.61821702)
Medium Risk,Capitol Hill,1414 E Denny Way,Seattle,WA,98122,1915,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.313569003 47.619050014)
High Risk,Capitol Hill,1518 11th Ave,Seattle,WA,98122,1915,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.317757021 47.614672984)
Medium Risk,Capitol Hill,212 11th Ave E,Seattle,WA,98102,1929,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.317999006 47.620423011)
Medium Risk,Capitol Hill,616 E Thomas St,Seattle,WA,98102,1927,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.323323024 47.621220005)
Medium Risk,Capitol Hill,315 Summit Ave E,Seattle,WA,98102,1930,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.325550012 47.62133601)
Medium Risk,Capitol Hill,906 E John St,Seattle,WA,98102,1924,6,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.320476026 47.620086017)
Medium Risk,Capitol Hill,303 Harvard Ave E,Seattle,WA,98102,1949,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.322498999 47.621267991)
Medium Risk,Capitol Hill,401 15th Ave E,Seattle,WA,98112,1922,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.312936002 47.622171979)
Medium Risk,Capitol Hill,1514 10th Ave,Seattle,WA,98122,1912,2,No visible retrofit,Commercial/Office,101+,Photos from Previous Surveys,POINT (-122.319138023 47.614468004)
Medium Risk,Capitol Hill,1815 15th Ave,Seattle,WA,98122,1929,2,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31314798 47.618173015)
Medium Risk,Capitol Hill,1515 Bellevue Ave,Seattle,WA,98122,1925,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.327168976 47.614526007)
High Risk,Capitol Hill,722 E Union St,Seattle,WA,98122,1912,3,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.322492964 47.613169983)
Medium Risk,Capitol Hill,325 Summit Ave E,Seattle,WA,98102,1929,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.325573984 47.621658001)
